name,medal_type,medal_date,gender,birth_date,country,discipline,event
YUSUPOV Alisher,BRONZE,2024-08-02,MASCULINO,1998-11-27,Uzbekistan,Judo,Men +100 kg
SOUZA Beatriz,OURO,2024-08-02,FEMININO,1998-05-20,Brazil,Judo,Women +78 kg
HERSHKO Raz,PRATA,2024-08-02,FEMININO,1998-06-19,Israel,Judo,Women +78 kg
KIM Hayun,BRONZE,2024-08-02,FEMININO,2000-01-07,Korea,Judo,Women +78 kg
DICKO Romane,BRONZE,2024-08-02,FEMININO,1999-09-30,France,Judo,Women +78 kg
LEONE Chiara,OURO,2024-08-02,FEMININO,1998-06-15,Switzerland,Shooting,50m Rifle 3 Positions Women
MADDALENA Sagen,PRATA,2024-08-02,FEMININO,1993-08-16,United States,Shooting,50m Rifle 3 Positions Women
ZHANG Qiongyue,BRONZE,2024-08-02,FEMININO,2004-03-12,China,Shooting,50m Rifle 3 Positions Women
MARCHAND Leon,OURO,2024-08-02,MASCULINO,2002-05-17,France,Swimming,Men's 200m Individual Medley
SCOTT Duncan,PRATA,2024-08-02,MASCULINO,1997-05-06,Great Britain,Swimming,Men's 200m Individual Medley
WANG Shun,BRONZE,2024-08-02,MASCULINO,1994-02-11,China,Swimming,Men's 200m Individual Medley
McEVOY Cameron,OURO,2024-08-02,MASCULINO,1994-05-13,Australia,Swimming,Men's 50m Freestyle
PROUD Benjamin,PRATA,2024-08-02,MASCULINO,1994-09-21,Great Britain,Swimming,Men's 50m Freestyle
MANAUDOU Florent,BRONZE,2024-08-02,MASCULINO,1990-11-12,France,Swimming,Men's 50m Freestyle
McKEOWN Kaylee,OURO,2024-08-02,FEMININO,2001-07-12,Australia,Swimming,Women's 200m Backstroke
SMITH Regan,PRATA,2024-08-02,FEMININO,2002-02-09,United States,Swimming,Women's 200m Backstroke
MASSE Kylie,BRONZE,2024-08-02,FEMININO,1996-01-18,Canada,Swimming,Women's 200m Backstroke
SWIATEK Iga,BRONZE,2024-08-02,FEMININO,2001-05-31,Poland,Tennis,Women's Singles
LITVINOVICH Ivan,OURO,2024-08-02,MASCULINO,2001-06-26,AIN,Trampoline Gymnastics,Men
WANG Zisai,PRATA,2024-08-02,MASCULINO,2006-06-18,China,Trampoline Gymnastics,Men
YAN Langyu,BRONZE,2024-08-02,MASCULINO,1999-08-31,China,Trampoline Gymnastics,Men
PAGE Bryony,OURO,2024-08-02,FEMININO,1990-12-10,Great Britain,Trampoline Gymnastics,Women
BARDZILOUSKAYA Viyaleta,PRATA,2024-08-02,FEMININO,2005-06-07,AIN,Trampoline Gymnastics,Women
METHOT Sophiane,BRONZE,2024-08-02,FEMININO,1998-08-03,Canada,Trampoline Gymnastics,Women
LIM Sihyeon,OURO,2024-08-03,FEMININO,2003-06-13,Korea,Archery,Women's Individual
NAM Suhyeon,PRATA,2024-08-03,FEMININO,2005-01-27,Korea,Archery,Women's Individual
BARBELIN Lisa,BRONZE,2024-08-03,FEMININO,2000-04-10,France,Archery,Women's Individual
YULO Carlos Edriel,OURO,2024-08-03,MASCULINO,2000-02-16,Philippines,Artistic Gymnastics,Men's Floor Exercise
DOLGOPYAT Artem,PRATA,2024-08-03,MASCULINO,1997-06-16,Israel,Artistic Gymnastics,Men's Floor Exercise
JARMAN Jake,BRONZE,2024-08-03,MASCULINO,2001-12-03,Great Britain,Artistic Gymnastics,Men's Floor Exercise
